,stock number,population name,species,esu/dps name,federal status,listing date,salmon recovery region,major population grouping,population goals,population history,run_timing_LH,stock definition,stock data description,stock spawning distribution,stock genetic analysis description
21,1240,Dungeness Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Dungeness River Chinook,"Upper mgmt threshold = 925.  Low abundance threshold = 500.  Rebuilding ER = 10% SUS, Critical ER ceiling = 6% SUS.",This is a native stock with composite production. A joint state-tribal hatchery-based supplementation program for Dungeness chinook began in 1992 and is carried out at the WDFW Dungeness and Hurd Creek hatcheries.,Summer/Fall Chinook,Dungeness chinook were identified as a stock based on their distinct spawning distribution and timing. Stock identification is supported by genetic analysis.,"Data are total escapement estimates expanded from redd counts from RM 0.0 to 18.7 in the Dungeness River and from RM 0.0 to 5.1 in the Gray Wolf River, an estimate of the number of adult Chinook that spawned naturally in the Dungeness and Gray Wolf rivers. Escapement estimate includes both NORs and HORs, and the number of adult Chinook collected by WDFW hatchery staff for supplementation program.",Most spawning takes place from the mouth to RM 18.9 in the mainstem Dungeness and the lower 6.1 miles of the Gray Wolf River.,"Allozyme analysis to examine family contributions to a state-tribal hatchery-based supplementation program for Dungeness has been conducted. No examination of the relationship between Dungeness chinook and other chinook stocks has been made (Anne Marshall, WDFW, personal communication)."
22,1248,Elwha Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Elwha River Chinook,"Upper mgmt threshold = 2,900.  Low abundance threshold = 1,000.  Rebuilding ER = 10% SUS, Critical ER ceiling = 6% SUS.",This is a native stock with composite production. The WDFW Elwha Hatchery collects broodstock from the Elwha River annually. The wild and hatchery components are completely intermingled.,Summer/Fall Chinook,Elwha chinook were identified as a stock based on their distinct spawning distribution. Stock identification is supported by genetic analysis.,"Data are total escapement estimates based on redd counts from RM 0.2 to 4.8.  As of 1997, data are total escapement estimates based on combining expanded redd counts from RM 3.2 to 4.4, broodstock collection, and pre-spawn mortalities.","Summer chinook spawn naturally in the portions of the lower 4.9 miles of the Elwha River, below the lower Elwha dam, though most of the suitable spawning habitat is below the City of Port Angeles‘ water diversion dam at RM 3.4.",Allozyme analysis has shown that Elwha chinook are genetically distinct from all other Washington chinook stocks examined (Marshall et al. 1995).
23,1256,Hoko Fall Chinook,Chinook,Washington Coast Chinook,Not Warranted,3/9/1998,Puget Sound,No MPG Specified,"Upper mgmt threshold = 850.  Low abundance threshold = 500.  Rebuiding ER = 10% SUS, Critical ER ceiling = 6% SUS.",This is a native stock with composite production. The Makah Tribe is conducting a hatcherysupplementation program that uses native broodstock to rebuild the stock.,Summer/Fall Chinook,Hoko chinook were identified as a stock based on their distinct spawning distribution. Stock identification has been supported by genetic analysis.,"Data are: 1) estimates of the number of spawners after up to100 pairs of chinook are removed for broodstock for the Makah Tribe`s Hoko chinook rebuilding program, 2) numbers of chinook actually removed for broodstock, and 3) total run escapement (spawners plus broodstock).  Spawner estimates are expanded from redd counts in the upper and lower mainstem Hoko; the little Hoko River, a tributary to the lower Hoko; Herman, North Fork Herman, Ellis Bear, Cub and Brownes creeks, all tributaries to the upper Hoko river.  Numbers of natural chinook spawners have significantly increased since the inception of the Hoko Falls Hatchery supplementation program in 1982, from counts of less than 200, before hatchery supplementation was initiated, to exceeding the natural escapement goal of 850 in three out of the last six years (1996 to 2001). Despite these recent successes and the increasing trend in run size, the numbers of chinook remaining in the river to spawn after brood stock removal have exce","Most spawning takes place in the mainstem up to about RM 21.5, in the little Hoko River, a tributary to the lower Hoko mainstem and in Herman, Ellis, Bear, Cub and Brownes creeks, upper Hoko mainstem tributaries.","Allozyme analysis has shown that Hoko chinook are genetically distinct from all other Washington chinook stocks examined, although they share some allele frequency similarities with north coastal stocks (Marshall et al. 1995)."
24,2034,Nooksack Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,NA,This is a native stock with wild production.,Fall Chum,Nooksack fall chum were identified as a stock based on their distinct spawning distribution.,NA,"Spawning takes place in side channels of the South Fork and mainstem Nooksack River and in tributaries such as Fishtrap, Burtrand and Ten Mile creeks. Spawning also takes place in North Fork Nooksack River sloughs, side channels and in large tributaries such as Maple Creek and Racehorse Slough.",A small sample of chum salmon from the mainstem Nooksack taken in 1992 showed considerable differences from other Puget Sound chum stocks (Phelps et al. 1995). No genetic analysis has been done on South Fork Nooksack chum. Allozyme analysis has also shown North Fork chum to be genetically distinct from all other Washington and Canadian chum stocks examined (Phelps et al. 1995).
25,2044,Samish/Independents Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"EG=2,800: 1,000 Samish, 1,800 7B, 7C tribs.","This is a mixed stock with composite production. Hood Canal and Quilcene chum have been released into the Samish River and Chuckanut, Oyster, Whitehall, and Dakota Creeks. The Maritime Heritage Hatchery in Bellingham has released Samish Hatchery chum into Squalicum, Whatcom and Padden creeks and is in the process of changing their chum broodstock to North Fork Nooksack chum. Other chum releases into the Samish River have included hatchery stocks from Grays Harbor and Garrison Springs (South Puget Sound).",Fall Chum,Samish/Independents fall chum were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on live spawner counts in the Samish River, Bob Smith and Thomas creeks (Samish River tributaries), and in Chuckanut, Oyster, Colony and Whitehall creeks.","Most spawning takes place in the Samish River system and in Squalicum, Whatcom, Padden, Chuckanut, Oyster, Colony, and Whitehall creeks. Chum have also been documented spawning in Dakota and California creeks.",Allozyme analysis has shown Samish/Independent fall chum to be genetically distinct from all other Washington and Canadian chum stocks examined (Phelps et al. 1995).
26,2055,Mainstem Skagit Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd-years: EG=40,000 for the basin.  Even-years: EG=116,500 for the basin",This is a native stock with wild production.,Fall Chum,"Mainstem Skagit fall chum were identified as a stock based on their distinct spawner distribution, spawning timing and genetic composition.",Data are total escapement estimates based on live spawner counts in the Skagit River mainstem and side channel index areas. The estimates include counts for the Sauk fall chum stock. We believe that these numbers adequately reflect the status of the Mainstem Skagit fall chum stock.,"Spawning takes place in the mainstem Skagit River from RM 34 to 93. Spawning also occurs in larger tributaries such as the Cascade River, Nookachamps, Gilligan, Illabot, and Bacon creeks.",Allozyme analysis has shown Mainstem Skagit fall chum to be genetically distinct from all other Washington chum and Canadian chum stocks examined (Phelps et al. 1995).
27,2088,North Fork Stillaguamish Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=13,100 for the basin.  Even yrs: EG=33,100 for the basin.",This is a native stock with wild production.,Fall Chum,North Fork Stillaguamish fall chum were identified as a stock based on their distinct spawner distribution and genetic composition.,"Data are live fish-days from spawner index areas calculated from area-under-the-curve graphs.  The index areas covered are the lower 1.7 miles of Squire Creek, Brown`s Creek, Ashton Creek, Furland Creek, Fortson Creek, Grant Creek, and the mainstem North Fork, from Whitehorse (RM 30) to Hazel (RM 22.4).  Data may be compared between the sum of fish-days in indices for the year in question to the sum of fish-days in the same index areas during base years 1977 and 1980, years in which escapement was determined by mark-and-recapture tagging studies, and averaged  to determine an escapement estimate.  The ratio of spawners using the index areas to the total escapement is assumed to be consistent from year to year.",Most spawning takes place in the mainstem North Fork and accessible tributaries such as those of the Squire Creek drainage.,"Allozyme analysis has shown North Fork Stillaguamish fall chum to be genetically distinct from all Washington chum stocks outside of the Stillaguamish basin. However, stock separations within the system are unclear (Phelps et al. 1995)."
28,2099,South Fork Stillaguamish Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=13,100 for the basin.  Even yrs: EG=33,100 for the basin.",This is a native stock with wild production.,Fall Chum,South Fork Stillaguamish fall chum were identified as a stock based on their distinct spawner distribution and genetic composition.,Data are fish-days from spawner index areas on Jim and Siberia creeks.,Most spawning takes place in the mainstem South Fork Stillaguamish up to RM 34 and in tributaries such as Jim Creek and Siberia Creek.,"Allozyme analysis has shown South Fork Stillaguamish fall chum to be genetically distinct from all Washington chum stocks outside of the Stillaguamish basin. However, stock separations within the system are unclear (Phelps et al. 1995)."
29,2110,Skykomish Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"50% maximum ER; low abundance threshold = EG=10,200 in odd yrs, 28,000 in even years",This is a native stock with wild production.,Fall Chum,Skykomish fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.,"Data are total escapement estimates based on a comparison of live spawner curves for side channels and sloughs on the Skykomish River between the towns of Sultan and Gold Bar to data from 1977, when the escapement was estimated by a mark-and-recapture tagging study.",Most spawning takes place in Skykomish side channels and in larger tributaries such as Woods Creek and the Sultan River.,Allozyme analysis has shown Skykomish fall chum to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
30,2121,Snoqualmie Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"50% maximum ER; low abundance threshold = EG=10,200 in odd yrs, 28,000 in even years",This is a native stock with wild production.,Fall Chum,Snoqualmie fall chum were identified as a stock based on their distinct spawning distribution.,No methodology is established to estimate escapement for this population. This stock is not currently monitored.,Most spawning takes place in a side channel in the mainstem Snoqualmie River near Fall City and in the Tolt and South Fork Tolt rivers.,Genetic analysis has shown Snoqualmie fall chum to be genetically distinct from all other Washington chum and Canadian chum stocks sampled (Phelps et al. 1995).
31,2132,Wallace Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"50% maximum ER; low abundance threshold = EG=10,200 in odd yrs, 28,000 in even years",This is a native stock with wild production.,Fall Chum,Wallace fall chum were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on live spawner curves from the Wallace and Ruggs sloughs.,Most spawning takes place in the Wallace River upstream to Gold Bar and in tributaries such as Olney Creek and Ruggs Slough.,Genetic analysis has shown Wallace fall chum to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
32,2143,Duwamish/Green Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,No goal established,"This is a mixed stock with composite production. Hatchery plants from the Keta Creek Hatchery have occurred in this area, and it is likely that these have affected the native stock gene pool.",Fall Chum,Duwamish/Green fall chum were identified as a stock based on their distinct spawning distribution.,There are no abundance trend data for Duwamish/Green Fall Chum. Chum salmon spawners in the Duwamish/Green Rivers are part of the hatchery population supported by the Muckleshoot Tribe’s Keta Creek Hatchery. The hatchery program is very successful. There are no direct counts.,Spawning takes place in the mainstem and side channels of Green River.,No genetic analysis has been done on Duwamish/Green fall chum.
33,2154,Crisp Creek Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,No goal established,This is a non-native stock with composite production. Keta Creek Hatchery chum originated from releases of Quilcene and Hoodsport hatchery stock. Surplus hatchery fish spawn in Crisp Creek and may also mix with mainstem native spawners. In 1990 efforts were initiated to replace this stock with a South Puget Sound stock from the Suquamish Tribal hatchery.,Fall Chum,Crisp Creek fall chum were identified as a stock based on their distinct spawning distribution.,There are no abundance trend data for Crisp Creek fall chum. Chum salmon spawners in Crisp Creek are part of the hatchery population supported by the Muckleshoot Tribes Keta Creek Hatchery. The hatchery program is very successful and large numbers of chum salmon annually spawn in Crisp Creek downstream of the hatchery rack. There are no direct counts.,Spawning takes place in Crisp Creek.,"Allozyme analysis has shown that Crisp Creek fall chum sampled in 1994 are not significantly different from Quilcene Hatchery chum, from which they were derived (Phelps et al. 1995). Results of more recent analyses are not yet available."
34,2165,Hylebos Creek Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,No goal established,Stock origin and production type are unknown for this stock.,Fall Chum,Hylebos Creek fall chum were identified as a stock based on their distinct spawning distribution.,Data type description needed.,Most spawning takes place in Hylebos Creek up to RM 5.,No genetic analysis has been done on Hylebos Creek fall chum.
35,2176,Fennel Creek Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,500 for the basin (Fennel Creek and Puyallup/Carbon combined).  Even yrs: EG=1,900 for the basin (Fennel Creek and Puyallup/Carbon combined).","This is a stock of unknown origin with wild production. Prior to the introduction of hatchery fish from Hood Canal, the native escapement was less than 200 spawners. Escapement levels increased as a result of the egg box project, which has been discontinued. The stock is now sustained entirely by wild production.",Fall Chum,Fennel Creek fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.,"Data are total escapement estimates based on serial index area counts of adult spawners in Fennel Creek (RM 0.0 to 1.9), and Canyonfalls Creek (RM 0.3 to 0.6).",Most spawning takes place in the mainstem Puyallup River between the Carbon and White rivers and in tributaries such as Fennel and Canyonfalls creeks.,Allozyme analysis has shown that Fennel Creek fall chum are different from the Hood Canal stock used in a discontinued egg box program on Fennel Creek (Phelps et al. 1995).
36,2185,Chambers Creek Winter Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,300.  Even yrs: EG=1,700 .",This is a native stock with wild production.,Winter Chum,"Chambers Creek winter chum were identified as a stock based on their distinct spawning distribution, spawning timing, and genetic composition.",Data are total escapement based on trap counts at the mouth of Chambers Creek.,Most spawning takes place in Chambers Creek and tributaries such as Leach and Flett creeks.,Allozyme analysis has shown Chamber Creek winter chum to be genetically different from all other Washington chum stocks examined. They are most similar to the Nisqually winter chum stock (Phelps et al. 1995).
37,2187,Puyallup/Carbon Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,500 for the basin (Fennel Creek and Puyallup/Carbon combined).  Even yrs: EG=1,900 for the basin (Fennel Creek and Puyallup/Carbon combined).",This is a native stock with wild production.,Fall Chum,Puyallup/Carbon fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.,"Data are counts of adult spawners from South Prairie Creek. These counts underestimate the total number of chum spawners in Puyallup/Carbon system, however they are useful for identifying a trend in spawner abundance.",Most spawning takes place in the mainstem Carbon River and South Prairie Creek. Spawning also occurs in the tributaries of the Puyallup and White Rivers such as Swan Creek.,Allozyme analysis has shown Puyallup/Carbon fall chum to be genetically distinct from all other Washington chum and Canadian chum stocks examined (Phelps et al. 1995).
38,2189,Nisqually Winter Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=18,000.  Even yrs: EG=27,000.",This is a native stock with wild production.,Winter Chum,"Nisqually winter chum were identified as a stock based on their distinct spawning distribution, late spawning timing, and genetic composition.","Data are total escapement estimates for the Nisqually system based on index live spawner counts made in the Nisqually River, Muck, Yelm, Mounts and McAllister creeks.","Most spawning takes place in the mainstem Nisqually River, in tributaries such as Muck and Yelm creeks and in two local independent streams, Mounts and McAllister creeks.",Allozyme analysis has shown Nisqually winter chum to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
39,2193,Henderson Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,Odd yrs: EG=600.  Even yrs: EG=750.,"This is a mixed stock with wild production. Elson Creek Hatchery and Minter Creek Hatchery chum stocks have been planted in both Woodard and Woodland creeks in the past, however Woodard Creek may still have a remnant native run.",Fall Chum,Henderson Inlet fall chum were identified as a stock based on their distinct spawning distribution.,Data are 1) spawner estimates as the peak dead + live count for Woodland Creek (WRIA 13.0006) RM 1.4-3.1. Estimate should be viewed as a relative estimate of annual return not as an escapement estimate.  2) Index count for Woodland Creek (RM 1.5-2.6) only using AUC.,Most spawning takes place in Woodland and Woodard creeks.,No genetic analysis has been done on Henderson Inlet fall chum.
40,2195,Eld Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=14,500.  Even yrs: EG=18,500",This is a native stock with wild production.,Fall Chum,Eld Inlet fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.,"Data are total escapement estimates based on index counts of live spawners made annually in McLane, Perkins, Swift and Perry creeks.","Most spawning takes place in McLane, Swift and Perry creeks.",Allozyme analysis has shown Eld Inlet Fall chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
41,2203,Totten Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=11,500.  Even yrs: EG=14,400",This is a native stock with wild production.,Fall Chum,"Totten Inlet fall chum were identified as a stock based on their distinct spawning distribution, genetic differences and run timing.",Data are estimates of total escapement of fall chum to Totten Inlet streams based on index counts of live spawners made annually in Kennedy and Schneider creeks.,Most spawning takes place in Kennedy and Schneider creeks.,Allozyme analysis has shown Totten Inlet Fall chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995). A unique genetic mark was applied to Kennedy Creek chum during the 1975-1980 return years.
42,2207,Skookum Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,500.  Even yrs: EG=2,100.  for Skookum Inlet",This is probably a mixed stock with wild production. Elson Creek Hatchery chum releases occurred in this area. Hatchery plants and straying from the Elson Creek facility may have affected the native component of Skookum fall chum creating a mixed stock or may have replaced the native component with an introduced hatchery stock. The Elson Creek Hatchery no longer produces chum salmon.,Fall Chum,Skookum Inlet fall chum were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on index counts of live spawners made annually in Little Creek.,"Most spawning takes place in Skookum Creek and its tributary, Little Creek.","Allozyme analysis has shown Skookum Inlet Fall chum salmon to be closely related to the Elson Creek Hatchery chum stock, which was derived from local wild populations (Phelps et al. 1995)."
43,2211,Upper Skookum Creek Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,See above,This is a native stock with wild production.,Fall Chum,Upper Skookum Creek fall chum were identified as a stock based on their distinct spawning distribution and run timing.,Data are total escapement estimates based on annual index counts of live spawners in Skookum Creek.  In 2007 the un-named tributary (14.0020A) was added to surveys.,Most spawning takes place between RM 6 and RM 8 in Skookum Creek.,Allozyme analysis has shown Upper Skookum Creek fall chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
44,2215,Hammersley Inlet Summer Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=4,600.  Even yrs: EG=16,500","This is a native stock with wild production. The Johns Creek Hatchery was a major contributor to the run from the late 1970s through the mid-1980s and supplemented a large wild escapement into Johns Creek using native broodstock. The hatchery closed in 1991. Currently, escapements in Johns Creek and other Hammersley Inlet streams are the result of natural spawning.",Summer Chum,"Hammersley Inlet summer chum were identified as a stock based on their distinct spawning distribution, spawning timing, and genetic composition.","Data are total escapement estimates for summer chum from Hammersley Inlet streams based on index live spawner counts made annually in Johns, Cranberry and Deer creeks.","Most spawning takes place in Johns, Cranberry and Deer creeks.",Allozyme analysis has shown Hammersley Inlet summer chum to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
45,2219,Johns/Mill Creeks Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Hammersley Inlet goals.  Odd yrs: EG=13,500.  Even yrs: EG=17,000","This is a mixed stock with wild production. At one point, Hood Canal hatchery chum were introduced into the system. Fisheries were conducted in attempts to remove these fish but were not considered to be effective. Hatchery plants from Hood Canal and other facilities (Minter Creek) may have affected the genetic make-up of the native stock and created a mixed stock.",Fall Chum,"Johns/Mill Creeks fall chum were identified as a stock based on their distinct spawning distribution and spawning timing. Much of the production in this area comes from wild escapement in Johns Creek. Mill Creek escapement is primarily based on wild spawning fish with a narrower run timing (November to December spawner). However, because of the over-lap in run timing, they can be considered the same stock.",Data are total escapement estimates based on annual index counts of live spawners in Johns and Mill creeks.,Most spawning takes place in Johns Creek. Spawning also occurs in Mill Creek.,Allozyme analysis has shown Johns/Mill Creek fall chum salmon to have a genetically mixed background. Mill Creek may have a remnant native fall chum population (Phelps et al. 1995).
46,2223,Goldsborough/Shelton Creeks Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Hammersley Inlet goals.  Odd yrs: EG=13,500.  Even yrs: EG=17,000","This is a native stock with wild production. Although Shelton Creek receives hatchery plants, Goldsborough Creek is dependent on wild escapement.",Fall Chum,Golsborough/Shelton Creeks fall chum were identified as a stock based on their distinct spawning distribution and run timing. They have a later run timing than other Hammersley Inlet spawners.,Data are total escapement estimates based on annual index counts live spawner in Goldsborough and Shelton creeks.,Most spawning takes place in Goldsborough and Shelton Creeks.,Allozyme analysis has shown Goldsborough/Shelton Creeks fall chum to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
47,2227,Case Inlet Summer Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=3,900.  Even yrs: EG=14,000","This is a native stock with wild production. Wild escapements in Coulter and Sherwood creek were supplemented by large hatchery program using native broodstock from the late 1970s through the mid- 1980s, when the program was discontinued. Currently the stock is sustained entirely by natural spawning.",Summer Chum,"Case Inlet summer chum were identified as a stock based on their distinct spawning distribution, spawning timing, and genetic composition.","Data are total escapement estimates for summer chum in Case Inlet streams based on index counts of live spawners made annually in Sherwood, Coulter and Rock creeks.","Most spawning takes place in Sherwood, Coulter and Rocky creeks.",Allozyme analysis has shown Case Inlet summer chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
48,2229,Case Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,500.  Even yrs: EG=1,800",This is a native stock with wild production.,Fall Chum,"Case Inlet fall chum were identified as a stock based on their distinct spawning distribution, spawning timing, and genetic composition.","Data are total escapement estimates based on annual index counts of live spawners in Sherwood, Coulter and Rocky creeks.","Most spawning takes place in Sherwood, Coulter and Rocky creeks.",Allozyme analysis has shown Case Inlet fall chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
49,2235,Carr Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=1,500.  Even yrs: EG=1,900.","This is a mixed stock with composite production. Extensive hatchery introductions and strays from Minter Creek Hatchery have influenced the genetic makeup of wild spawning fish in this inlet. Prior to 1992, the Minter Creek Hatchery reared and released fall chum of Hood Canal origin. By 1992, this stock was replaced with the South Sound-origin Elson Creek Hatchery stock. The aggregate Carr Inlet stock should be considered mixed. Lackey Creek may be the lone remaining stream that could have native Carr Inlet fall chum.",Fall Chum,Carr Inlet fall chum were identified as a stock based on their distinct spawning distribution. Burley Creek chum have an earlier spawning peak (November) than chum in Lackey Creek.,Data are total escapement estimates based on annual index counts of live spawners in Carr Inlet streams.,Most spawning takes place in Burley and Lackey creeks.,"Allozyme analysis has shown Carr Inlet fall chum salmon to have a mixed genetic background (Phelps et al. 1995). Minter Creek chum were derived from Elson Creek Hatchery stock, which was recently used to replace the previous Hood Canal-origin population. Lackey Creek may have a remnant native fall chum population."
50,2239,Gig Harbor/Ollala Creek Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"East Kitsap goals.  Odd yrs: EG= 18,000.  Even yrs: EG= 21,500.","This is a mixed stock with composite production. Donkey Creek production has been supported by the Minter Creek Hatchery. Prior to 1989, the hatchery released fall chum of Hood Canal origin. These fish were replaced by Elson Creek Hatchery fall chum (a South Sound stock) by 1992. Chum in Ollala, Curley and Crescent creeks may be native.",Fall Chum,Gig Harbor/Ollala Creek fall chum were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on live spawner counts in North, Crescent and Ollala creeks.","Most spawning takes place in North (Donkey), Ollala, Curley and Crescent creeks.",Allozyme analysis has shown Gig Harbor/Ollala Creek fall chum salmon to have a mixed genetic background (Phelps et al. 1995). North (Donkey) Creek chum are derived from Elson Creek Hatchery Stock (via Minter Creek).
51,2243,Blackjack Creek Summer Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"Odd yrs: EG=800.  Even yrs: EG=1,500.",This is a native stock with wild production.,Summer Chum,"Blackjack Creek summer chum were identified as a stock based on their distinct spawner distribution, spawning timing, and genetic composition.","Data are total escapement estimates based on annual index counts of live spawners in Blackjack Creek, an independent East Kitsap stream that flows into Sinclair Inlet.","Most spawning takes place in Blackjack Creek, although some fish utilize Curley Creek, a Yukon Harbor tributary.",Allozyme analysis has shown Blackjack Creek summer chum salmon to be genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).
52,2247,Sinclair Inlet Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"East Kitsap goals.  Odd yrs: EG= 18,000.  Even yrs: EG= 21,500.",This is a native stock with wild production.,Fall Chum,Sinclair Inlet fall chum were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on live spawner counts in Ross, Blackjack and Gorst creeks.","Most spawning takes place throughout Sinclair Inlet including tributaries such as Gorst, Anderson, Ross and Blackjack creeks.",Allozyme analysis has shown Sinclair Inlet fall chum collected from Gorst Creek to be genetically similar to Chico Creek chum stock (Phelps et al. 1995).
53,2251,Dyes Inlet/Liberty Bay Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,No MPG Specified,"East Kitsap goals.  Odd yrs: EG= 18,000.  Even yrs: EG= 21,500.","This is a native stock with composite production. The tributaries of both Dyes Inlet and Liberty Bay have historically had significant hatchery plants from the Suquamish Tribe`s Cowlings Creek Hatchery. The origin of the Cowlings Creek hatchery stock was Chico Creek fish, so this hatchery stock is considered a native stock within Dyes Inlet. Releases of the Cowling Creek hatchery stock into the tributaries of Liberty Bay have probably established a mixed stock with native remnant components.",Fall Chum,Dyes Inlet/Liberty Bay fall chum were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on live spawner counts in Chico, Barker, Dogfish, Clear, Steele and Scandia creeks.","Most spawning takes place in the Chico Creek system and in nearby independent tributaries such as Barker, Dogfish, Clear, Johnson and Scandia creeks.",Allozyme analysis has shown Dyes Inlet/Liberty Bay fall chum collected from Chico Creek to be genetically similar to Gorst Creek chum (Sinclair Inlet) (Phelps et al. 1995).
